PHOTO_2,-,-,-
DF,1020.95594157619,102.157550599217,-
DF,1020.7394020188,102.104898242469,-
DF,1018.64850213593,101.940447350162,-
DF,1016.7718332782,101.585963880694,-
DF,1014.7050506787,101.727558540836,-
DF,1018.55312322849,100.511438373454,-
DF,1025.15142040684,94.7168941028765,-
DF,1035.74510770804,80.7905628215696,-
DF,1043.6199463304,70.9063708222957,-
DF,1048.48136685308,64.3917327496477,-
DF,1050.86620108799,60.9973703184455,-
DF,1052.8083062065,57.9951246609153,-
DF,1054.61812005824,56.0358898349266,-
DF,1055.81558457412,54.5071182886268,-
DF,1056.85252278617,52.6662797366495,-
DF,1056.69875689337,51.9803598080626,-
DF,1056.54303273431,52.9515523577674,-
DF,1056.49952355797,53.4600739049556,-
DF,1055.63846509428,53.7229285282006,-
DF,1053.86067269979,54.4109240142171,-
DF,1052.53231663329,55.5256762709757,-
DF,1051.59673804831,55.5724333397828,-
DF,1050.21942257511,55.6243389243608,-
DF,1049.55137150996,56.0413230296802,-
DF,1048.73451618128,55.9482575066519,-
DF,1048.28530235978,56.6079427145209,-
DF,1047.0496087479,57.3212941825978,-
DF,1045.62195161119,58.2628381487133,-
DF,1044.93323678874,57.6597933962801,-
DF,1044.23593479242,58.2443248128659,-
DF,1045.30642973869,61.7540927771543,-
DF,1043.92031466638,66.7360939432632,-
DF,1040.84260088385,66.249542975787,-
DF,1040.73770838661,63.7265964966381,-
FE,1040.52792339212,58.6807035383405,-
TIME,-,-,00:00:01.3122205
FS,1028.72041476943,65.6271866318124,-
DF,1031.46005934558,74.1157516258011,-
DF,1033.61447820098,86.3274751077037,-
DF,1036.16848292772,92.0055427385313,-
DF,1038.9482725343,95.4339398986192,-
DF,1040.42917845097,96.2666629718729,-
DF,1041.0402280556,96.9227272024102,-
DF,1040.6710236354,95.6426654513479,-
DF,1039.86720743001,94.3785944932929,-
DF,1039.23628258707,92.8785440639327,-
DF,1038.20245751287,90.853639296213,-
DF,1037.80731355827,87.958712843661,-
DF,1036.85547079138,85.0453093654377,-
DF,1037.33974976802,83.7527646328657,-
DF,1037.55602166692,81.7189442293823,-
DF,1036.68951018864,78.6497034582478,-
DF,1037.84042021659,76.1764482529417,-
DF,1043.3009700605,73.449868757374,-
DF,1051.43702984263,71.1542245970141,-
DF,1056.81464225041,68.9862339382591,-
DF,1060.52519819133,66.4591498491754,-
DF,1062.70173825289,65.0772756183379,-
DF,1066.22971278011,65.3260633947436,-
DF,1066.60854839438,65.3242821078339,-
DF,1067.62745715837,65.0690511507602,-
DF,1067.24497765426,71.3804405961283,-
DF,1066.98041953671,73.8778364188818,-
DF,1066.78303020963,77.0326093540769,-
DF,1066.55687746573,77.9243900408447,-
DF,1065.69316975845,78.0834667841291,-
DF,1064.37305316032,76.786816018769,-
DF,1065.70755212755,72.9851514815101,-
DF,1066.22135496431,70.2678745902958,-
DF,1066.52976690774,66.8971473831802,-
DF,1065.94382788063,63.0563404945151,-
DF,1064.89630183977,58.0436982846489,-
DF,1064.65175073525,55.0006969702812,-
DF,1065.00926564448,51.1598048675158,-
DF,1064.76924184427,48.4223242467058,-
DF,1064.42066214883,46.9306745693947,-
DF,1063.89704630842,45.3833371000724,-
DF,1064.23458522777,44.1916771542242,-
DF,1063.21968318791,42.4985058741209,-
DF,1060.70485045556,41.4545336229473,-
DF,1059.43621356476,39.4113048751538,-
DF,1058.1318572814,37.3626040135652,-
DF,1057.64058979874,36.0541153343931,-
DF,1057.67152399938,34.2252862729326,-
DF,1057.20766760397,34.1266630280868,-
DF,1057.11748607356,35.3952603892733,-
DF,1057.77826254513,36.1662305997286,-
DF,1058.68804967786,34.8111913859743,-
DF,1060.57127816435,32.7297770100655,-
DF,1062.38274322203,32.3563224876106,-
DF,1063.82966781064,33.2918448950746,-
DF,1064.51406961218,34.7856285649031,-
DF,1065.42707458229,36.2949595938907,-
DF,1066.01982000934,37.0402347595452,-
DF,1065.72286896814,38.0751241041613,-
DF,1065.57655583841,37.6102338590398,-
DF,1066.21899087052,38.5404552936236,-
DF,1066.84113011284,38.1268292106522,-
DF,1067.16090794725,38.5253145122264,-
DF,1066.70108921782,37.1104680517255,-
DF,1066.4238696885,37.485432658176,-
DF,1067.62924981376,37.3931169114502,-
DF,1067.97506760232,37.177355089566,-
DF,1067.88057004981,37.1562463672722,-
DF,1067.10866400253,36.6233017362005,-
DF,1066.01783588465,37.4223168256697,-
DF,1065.17939390891,39.0028494281357,-
DF,1065.74669533984,40.9647689243032,-
DF,1067.6862999178,42.3341676888181,-
DF,1069.46640716817,43.1035691745748,-
DF,1070.47773549094,42.9627880366124,-
DF,1069.56617862573,44.874262971918,-
DF,1069.44769251537,46.2943975632708,-
DF,1070.49685596904,47.6857830715134,-
DF,1073.20992972003,46.9403159979152,-
DF,1074.8819499651,46.9448917366801,-
DF,1075.68786624971,47.5841414788309,-
DF,1074.96333895132,49.2708675484898,-
DF,1075.25905741435,51.0019274325086,-
DF,1075.79117899986,51.6000829394058,-
DF,1075.72649816799,53.0428538862576,-
DF,1074.48902547966,55.7130847962032,-
DF,1073.96487503778,59.1649232582436,-
DF,1074.62008330344,60.5169458672588,-
DF,1074.44504782585,61.0820107969163,-
DF,1074.5858321243,61.873625704455,-
DF,1076.64642079539,62.7023481080908,-
DF,1081.11850710886,63.1556803937817,-
DF,1083.26310281577,62.3982119764698,-
